ID,Tipo,Ubicación,Dirección,Ambientes,Precio,Moneda,Superficie,Descripción,Fotos,Disponible
622,Venta,"25 DE MAYO 26, ENTRE NACION Y PELLEGRINI","25 DE MAYO 26, ENTRE NACION Y PELLEGRINI",4,0,ARS,615,Casa. 4,"http://www.puyella.com.ar/images/propiedades/622.jpg,http://www.puyella.com.ar/images/propiedades/622/10.jpeg,http://www.puyella.com.ar/images/propiedades/622/13.jpeg,http://www.puyella.com.ar/images/propiedades/622/14.jpeg,http://www.puyella.com.ar/images/propiedades/622/16.jpeg,http://www.puyella.com.ar/images/propiedades/622/3.jpeg,http://www.puyella.com.ar/images/propiedades/622/5.jpeg,http://www.puyella.com.ar/images/propiedades/622/6.jpeg,http://www.puyella.com.ar/images/propiedades/622/9.jpeg",Sí
623,Venta,"25 DE MAYO 26, ENTRE NACION Y PELLEGRINI","25 DE MAYO 26, ENTRE NACION Y PELLEGRINI",0,0,ARS,0,Terreno / Lote. ,http://www.puyella.com.ar/images/propiedades/623.jpg,Sí
630,Venta,"CHACABUCO 195, ESQUINA LEON GURUCIAGA","CHACABUCO 195, ESQUINA LEON GURUCIAGA",1,0,ARS,0,Departamento. 1 Cochera.,"http://www.puyella.com.ar/images/propiedades/630.jpg,http://www.puyella.com.ar/images/propiedades/630/1.jpg,http://www.puyella.com.ar/images/propiedades/630/2.jpg,http://www.puyella.com.ar/images/propiedades/630/3.jpg,http://www.puyella.com.ar/images/propiedades/630/4.jpg,http://www.puyella.com.ar/images/propiedades/630/5.jpg,http://www.puyella.com.ar/images/propiedades/630/6.jpg,http://www.puyella.com.ar/images/propiedades/630/7.jpg,http://www.puyella.com.ar/images/propiedades/630/8.jpg,http://www.puyella.com.ar/images/propiedades/630/9.jpg",Sí
634,Venta,"AV. MORENO 133, ENTRE BELGRANO Y LAVALLE","AV. MORENO 133, ENTRE BELGRANO Y LAVALLE",2,0,ARS,0,Departamento. 2 Cochera.,"http://www.puyella.com.ar/images/propiedades/634.jpg,http://www.puyella.com.ar/images/propiedades/634/12.JPG,http://www.puyella.com.ar/images/propiedades/634/2.JPG,http://www.puyella.com.ar/images/propiedades/634/3.JPG,http://www.puyella.com.ar/images/propiedades/634/4.JPG,http://www.puyella.com.ar/images/propiedades/634/6.JPG,http://www.puyella.com.ar/images/propiedades/634/7.JPG,http://www.puyella.com.ar/images/propiedades/634/9.JPG",Sí
648,Venta,"MITRE 336, ENTRE SAN MARTIN Y MAIPU","MITRE 336, ENTRE SAN MARTIN Y MAIPU",0,0,ARS,917,Local comercial. 917 m2,"http://www.puyella.com.ar/images/propiedades/648.jpg,http://www.puyella.com.ar/images/propiedades/648/WhatsApp Image 2021-05-11 at 08.50.21.jpeg,http://www.puyella.com.ar/images/propiedades/648/WhatsApp Image 2021-05-11 at 08.50.23.jpeg,http://www.puyella.com.ar/images/propiedades/648/WhatsApp Image 2021-05-11 at 08.50.24.jpeg,http://www.puyella.com.ar/images/propiedades/648/WhatsApp Image 2021-05-11 at 08.50.33.jpeg,http://www.puyella.com.ar/images/propiedades/648/WhatsApp Image 2021-05-11 at 08.50.34.jpeg,http://www.puyella.com.ar/images/propiedades/648/WhatsApp Image 2021-05-11 at 08.50.41.jpeg,http://www.puyella.com.ar/images/propiedades/648/WhatsApp Image 2021-05-11 at 08.50.45.jpeg,http://www.puyella.com.ar/images/propiedades/648/WhatsApp Image 2021-05-11 at 08.54.11 (2).jpeg,http://www.puyella.com.ar/images/propiedades/648/WhatsApp Image 2021-05-11 at 08.54.11 (3).jpeg,http://www.puyella.com.ar/images/propiedades/648/WhatsApp Image 2021-05-11 at 08.54.25.jpeg,http://www.puyella.com.ar/images/propiedades/648/WhatsApp Image 2021-05-11 at 08.54.38 (2).jpeg,http://www.puyella.com.ar/images/propiedades/648/WhatsApp Image 2021-05-11 at 08.54.38 (3).jpeg",Sí
649,Venta,"MITRE 336, ENTRE SAN MARTIN Y MAIPU","MITRE 336, ENTRE SAN MARTIN Y MAIPU",0,0,ARS,917,Casa. 917 m2,"http://www.puyella.com.ar/images/propiedades/649.jpg,http://www.puyella.com.ar/images/propiedades/649/WhatsApp Image 2021-05-11 at 08.50.21.jpeg,http://www.puyella.com.ar/images/propiedades/649/WhatsApp Image 2021-05-11 at 08.50.23.jpeg,http://www.puyella.com.ar/images/propiedades/649/WhatsApp Image 2021-05-11 at 08.50.24.jpeg,http://www.puyella.com.ar/images/propiedades/649/WhatsApp Image 2021-05-11 at 08.50.34.jpeg,http://www.puyella.com.ar/images/propiedades/649/WhatsApp Image 2021-05-11 at 08.50.36.jpeg,http://www.puyella.com.ar/images/propiedades/649/WhatsApp Image 2021-05-11 at 08.50.41.jpeg,http://www.puyella.com.ar/images/propiedades/649/WhatsApp Image 2021-05-11 at 08.54.11 (2).jpeg,http://www.puyella.com.ar/images/propiedades/649/WhatsApp Image 2021-05-11 at 08.54.25.jpeg,http://www.puyella.com.ar/images/propiedades/649/WhatsApp Image 2021-05-11 at 08.54.38 (2).jpeg,http://www.puyella.com.ar/images/propiedades/649/WhatsApp Image 2021-11-29 at 16.12.10 (2).jpeg,http://www.puyella.com.ar/images/propiedades/649/WhatsApp Image 2021-11-29 at 16.12.11 (1).jpeg",Sí
662,Venta,NACION 207,NACION 207,0,0,ARS,0,Local comercial. ,http://www.puyella.com.ar/images/propiedades/662.jpg,Sí
667,Venta,B° PARQUE PALMARES E  AV. ILLIA,B° PARQUE PALMARES E  AV. ILLIA,0,0,ARS,0,Casa. ,"http://www.puyella.com.ar/images/propiedades/667.jpg,http://www.puyella.com.ar/images/propiedades/667/0cfa87ed-2f74-46e2-bfd0-fea20b18c0d6.jpg,http://www.puyella.com.ar/images/propiedades/667/13878985-ceb9-443b-afc2-5ec4c8361053.jpg,http://www.puyella.com.ar/images/propiedades/667/48769f8c-3cdc-43d8-9724-470cce9150b6.jpg,http://www.puyella.com.ar/images/propiedades/667/79d82562-3cfb-40db-a95e-4b30ac196401.jpg,http://www.puyella.com.ar/images/propiedades/667/9f81dc1a-8495-42d7-89bf-0c1a8e3feb96.jpg,http://www.puyella.com.ar/images/propiedades/667/c1ca14d4-ed8c-408a-8bc6-4fc838173d79.jpg,http://www.puyella.com.ar/images/propiedades/667/c2044c7d-9230-431c-a265-58058ccd9167.jpg,http://www.puyella.com.ar/images/propiedades/667/eed93f58-2436-4d8b-a30e-3d46ccea98a7.jpg",Sí
668,Venta,CHACABUCO 70,CHACABUCO 70,0,0,ARS,0,Local comercial. ,"http://www.puyella.com.ar/images/propiedades/668.jpg,http://www.puyella.com.ar/images/propiedades/668/2.jpeg,http://www.puyella.com.ar/images/propiedades/668/3.jpeg,http://www.puyella.com.ar/images/propiedades/668/5.jpeg",Sí
669,Venta,Av. Illia B° Santa Teresita,Av. Illia B° Santa Teresita,0,0,ARS,5466,Terreno / Lote. ,"http://www.puyella.com.ar/images/propiedades/669.jpg,http://www.puyella.com.ar/images/propiedades/669/IMG-20160518-WA0007.jpg,http://www.puyella.com.ar/images/propiedades/669/IMG-20160518-WA0037.jpg",Sí
672,Venta,Pascal entre Nuñez y Edison B° Santa Teresita,Pascal entre Nuñez y Edison B° Santa Teresita,0,0,ARS,0,Terreno / Lote. 2 m2,"http://www.puyella.com.ar/images/propiedades/672.jpg,http://www.puyella.com.ar/images/propiedades/672/3.jpg,http://www.puyella.com.ar/images/propiedades/672/4.jpg",Sí
682,Venta,BELGRANO 479,BELGRANO 479,0,0,ARS,369,Casa. ,http://www.puyella.com.ar/images/propiedades/682.jpg,Sí
695,Venta,SAVIO Y BOGADO,SAVIO Y BOGADO,0,0,ARS,6477,Terreno / Lote. 6.477 m2,"http://www.puyella.com.ar/images/propiedades/695.jpg,http://www.puyella.com.ar/images/propiedades/695/2.jpg,http://www.puyella.com.ar/images/propiedades/695/3.jpg,http://www.puyella.com.ar/images/propiedades/695/4.jpg,http://www.puyella.com.ar/images/propiedades/695/5.jpg",Sí
699,Venta,GUARDIA NACIONAL N° 87 PISO 4,GUARDIA NACIONAL N° 87 PISO 4,0,0,ARS,0,Departamento. ,"http://www.puyella.com.ar/images/propiedades/699.jpg,http://www.puyella.com.ar/images/propiedades/699/11.jpg,http://www.puyella.com.ar/images/propiedades/699/13.jpg,http://www.puyella.com.ar/images/propiedades/699/2.jpg,http://www.puyella.com.ar/images/propiedades/699/3.jpg,http://www.puyella.com.ar/images/propiedades/699/4.jpg,http://www.puyella.com.ar/images/propiedades/699/5.jpg,http://www.puyella.com.ar/images/propiedades/699/6.jpg,http://www.puyella.com.ar/images/propiedades/699/7.jpg,http://www.puyella.com.ar/images/propiedades/699/8.jpg,http://www.puyella.com.ar/images/propiedades/699/9.jpg",Sí
707,Venta,Autopista n° 9,Autopista n° 9,0,0,ARS,0,Campo / Chacra. ,"http://www.puyella.com.ar/images/propiedades/707.jpg,http://www.puyella.com.ar/images/propiedades/707/FOTO.jpeg",Sí
711,Venta,NACION 125,NACION 125,0,0,ARS,0,Departamento. ,"http://www.puyella.com.ar/images/propiedades/711.jpg,http://www.puyella.com.ar/images/propiedades/711/NACION 125 (10).jpg,http://www.puyella.com.ar/images/propiedades/711/NACION 125 (2).jpg,http://www.puyella.com.ar/images/propiedades/711/NACION 125 (5).jpg,http://www.puyella.com.ar/images/propiedades/711/NACION 125 (7).jpg",Sí
712,Venta,NACION 125,NACION 125,0,0,ARS,0,Departamento. ,"http://www.puyella.com.ar/images/propiedades/712.jpg,http://www.puyella.com.ar/images/propiedades/712/3.jpg,http://www.puyella.com.ar/images/propiedades/712/4.jpg,http://www.puyella.com.ar/images/propiedades/712/6.jpg,http://www.puyella.com.ar/images/propiedades/712/9.jpg",Sí
713,Venta,José Ingenieros n°78,José Ingenieros n°78,0,0,ARS,0,Casa. ,http://www.puyella.com.ar/images/propiedades/713.jpg,Sí
715,Venta,SARMIENTO 58 PISO 4 DEPTO 6,SARMIENTO 58 PISO 4 DEPTO 6,0,0,ARS,0,Departamento. ,"http://www.puyella.com.ar/images/propiedades/715.jpg,http://www.puyella.com.ar/images/propiedades/715/WhatsApp Image 2025-02-05 at 10.18.03.jpeg,http://www.puyella.com.ar/images/propiedades/715/WhatsApp Image 2025-02-05 at 10.18.04 (1).jpeg,http://www.puyella.com.ar/images/propiedades/715/WhatsApp Image 2025-02-05 at 10.18.04.jpeg,http://www.puyella.com.ar/images/propiedades/715/WhatsApp Image 2025-02-05 at 10.18.05 (2).jpeg,http://www.puyella.com.ar/images/propiedades/715/WhatsApp Image 2025-02-05 at 10.18.05 (3).jpeg",Sí
716,Venta,SAMIENTO N° 330,SAMIENTO N° 330,0,0,ARS,0,Casa. ,http://www.puyella.com.ar/images/propiedades/716.jpg,Sí
504,Alquiler,AV. SAVIO ESQ MENENDEZ,AV. SAVIO ESQ MENENDEZ,0,0,ARS,0,Terreno / Lote. ,http://www.puyella.com.ar/images/propiedades/504.jpg,Sí
